Sub Order Number,Order Date,Order Status,Courier Company,AWB No,RTO Initiated Date,COD Remittance Date,RTO AWB,Unbilled Charges
96,28-12-2025 19:54:01,Delivered,Xpressbees,1323151151519,N/A,N/A,,61.08
90,28-12-2025 15:51:47,Delivered,Amazon,366149762422,N/A,N/A,,50.98
92,28-12-2025 15:49:20,Delivered,Amazon,366149729098,N/A,N/A,,50.98
87,28-12-2025 12:28:00,Delivered,Xpressbees,1323154735943,N/A,16-01-2026 00:00:00,,98.84
86,28-12-2025 12:22:58,Delivered,Amazon,366146921624,N/A,N/A,,50.98
85,28-12-2025 12:11:12,Delivered,Amazon,366146712512,N/A,N/A,,50.98
84,28-12-2025 12:08:22,Delivered,Amazon,366146643458,N/A,N/A,,50.98
83,28-12-2025 12:05:53,Delivered,Amazon,366146599182,N/A,N/A,,50.98
81,28-12-2025 11:24:36,Delivered,Amazon,366145759976,N/A,N/A,,50.98
88,28-12-2025 11:20:29,Delivered,Amazon,366145685206,N/A,N/A,,50.98
80,27-12-2025 10:54:12,Delivered,Amazon,366124466826,N/A,N/A,,50.98
78,27-12-2025 10:49:02,Delivered,Amazon,366124185727,N/A,N/A,,50.98
76,27-12-2025 09:00:45,Delivered,Amazon,366118555970,N/A,N/A,,50.98
75,27-12-2025 08:56:47,Delivered,Amazon,366118392032,N/A,N/A,,50.98
74,27-12-2025 08:53:58,Delivered,Amazon,366118303434,N/A,N/A,,50.98
71,26-12-2025 12:41:26,Delivered,Amazon,366103789915,N/A,N/A,,50.98
72,26-12-2025 12:38:15,Delivered,Amazon,366103757846,N/A,09-01-2026 0:00:00,,85.2
68,25-12-2025 17:30:46,Delivered,Amazon,366085800059,N/A,N/A,,50.98
57,25-12-2025 11:52:32,Delivered,Amazon,366081156754,N/A,09-01-2026 0:00:00,,85.2
61,25-12-2025 11:46:37,Delivered,Amazon,366081057952,N/A,N/A,,50.98
63,25-12-2025 11:44:26,Rto Delivered,Amazon,366081012517,05-01-2026 0:00:00,N/A,514878410040,101.952
64,25-12-2025 11:38:10,Delivered,Amazon,366080880742,N/A,09-01-2026 0:00:00,,85.2
65,25-12-2025 11:27:57,Delivered,Amazon,366080599125,N/A,N/A,,50.98
66,25-12-2025 11:26:05,Delivered,Amazon,366080562365,N/A,09-01-2026 0:00:00,,85.2
67,25-12-2025 11:13:32,Delivered,Amazon,366080226274,N/A,N/A,,50.98
56,24-12-2025 13:33:55,Delivered,Amazon,366063529262,N/A,09-01-2026 0:00:00,,85.2
59,24-12-2025 13:29:20,Delivered,Xpressbees,1323151150079,N/A,N/A,,61.08
58,24-12-2025 11:33:01,Delivered,Amazon,366060662146,N/A,N/A,,50.98
55,23-12-2025 20:04:58,Delivered,Xpressbees,1323151149855,N/A,N/A,,61.08
52,23-12-2025 11:27:36,Rto Delivered,Amazon,366036922991,03-01-2026 0:00:00,N/A,514882936123,101.952
54,23-12-2025 11:25:16,Delivered,Amazon,366036842480,N/A,02-01-2026 0:00:00,,85.2
50,22-12-2025 11:10:49,Delivered,Amazon,366011434488,N/A,09-01-2026 0:00:00,,85.2
48,19-12-2025 11:00:24,Delivered,Amazon,365942913833,N/A,N/A,,50.98
47,19-12-2025 10:56:33,Delivered,Amazon,365942749081,N/A,N/A,,50.98
46,19-12-2025 10:51:17,Rto Delivered,Amazon,365942512708,03-01-2026 0:00:00,N/A,514873158169,101.952
45,18-12-2025 15:46:06,Rto Delivered,Amazon,365924590182,02-01-2026 0:00:00,N/A,514875466712,101.952
39,15-12-2025 14:03:29,Delivered,Amazon,365847344732,N/A,02-01-2026 0:00:00,,128.21
33,15-12-2025 12:26:59,Delivered,Amazon,365845014620,N/A,N/A,,93.99
34,15-12-2025 12:23:15,Delivered,Amazon,365844920021,N/A,N/A,,50.98
36,15-12-2025 12:19:46,Delivered,Amazon,365844801474,N/A,N/A,,93.99
28,13-12-2025 11:44:41,Rto Delivered,Amazon,365796735438,28-12-2025 00:00:00,N/A,514867865820,187.974
27,13-12-2025 11:38:00,Delivered,Amazon,365796555364,N/A,N/A,,50.98
26,13-12-2025 11:34:54,Delivered,Amazon,365796469821,N/A,N/A,,50.98
25,12-12-2025 11:15:45,Delivered,Amazon,365771597105,N/A,N/A,,50.98
12,09-12-2025 12:29:58,Delivered,Amazon,365699616865,N/A,N/A,,50.98
