Status,Order Number,Order Date,State,Product Name,SKU,Quantity,Price,Packet Id,Transaction ID,Payment Date,Amount
READY_TO_SHIP,249054573359473920_1,2026-01-31,Uttar Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851872,,,
READY_TO_SHIP,249101071547835456_1,2026-01-31,West Bengal,Lemon & Lemongrass Scented Glass Jar Candles | Pack of 2 | Fresh Citrus Aroma | Long Lasting Home Fragrance,IhlKmlNa,1,148,KP1VNBR58771482,,,
READY_TO_SHIP,249104121335178176_1,2026-01-31,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771487,,,
READY_TO_SHIP,249174521654224194_1,2026-01-31,West Bengal,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,KP1VNBR58771486,,,
READY_TO_SHIP,249191720804455296_1,2026-01-31,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771484,,,
READY_TO_SHIP,249196020586980672_1,2026-01-31,Kerala,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,107,NP5UFEU00851876,,,
READY_TO_SHIP,249200069508015168_1,2026-01-31,Uttar Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,2,219,NP5UFEU00851875,,,
READY_TO_SHIP,249211105338401856_1,2026-01-31,Maharashtra,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851874,,,
READY_TO_SHIP,249234855022597120_1,2026-01-31,Karnataka,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771485,,,
SHIPPED,249272649728168832_1,2026-02-01,Uttar Pradesh,"Scented Tea Light Candles Set for Home Decor | Multicolor Aroma Candles for Diwali, Festival & Romantic Decoration | Smokeless Wax Tealight Candles for Pooja, Party, Spa & Gifting (Pack of 10)",iwigZ0-t,1,110,NP5UFEU00851877,,,
SHIPPED,249368759864438528_1,2026-02-01,Odisha,Orange Hanging Car Perfume | Fresh Citrus Aroma | Long-Lasting | Alcohol-Free | 10ml | Roll Mills,PrEQ0yGc,1,95,KP1VNBR58771483,,,
SHIPPED,249387248641320260_1,2026-02-01,Assam,Lemon & Lemongrass Scented Glass Jar Candles | Pack of 2 | Fresh Citrus Aroma | Long Lasting Home Fragrance,IhlKmlNa,1,141,KP1VNBR58771470,,,
READY_TO_SHIP,249465726312944576_1,2026-02-01,Karnataka,Silicone Gel Heel Pad | Soft Heel Pain Relief Protector | Crack & Plantar Support for Men & Women,f12OnBna,1,99,,,,
SHIPPED,249469000390861760_1,2026-02-01,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,95,KP1VNBR58771476,,,
SHIPPED,249477863919883205_1,2026-02-01,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,95,KP1VNBR58771480,,,
SHIPPED,249508620281884416_1,2026-02-01,Karnataka,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,114,NP5UFEU00851880,,,
SHIPPED,249513388475723540_1,2026-02-01,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,95,KP1VNBR58771479,,,
SHIPPED,249526686692184961_1,2026-02-01,Bihar,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,81,KP1VNBR58771473,,,
SHIPPED,249539287434171328_1,2026-02-01,Delhi,Silicone Gel Heel Pad | Soft Heel Pain Relief Protector | Crack & Plantar Support for Men & Women,f12OnBna,2,99,KP1VNBR58771481,,,
SHIPPED,249554587118506944_1,2026-02-01,Bihar,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,114,NP5UFEU00851879,,,
SHIPPED,249555712882451712_1,2026-02-01,Madhya Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,95,KP1VNBR58771472,,,
SHIPPED,249561819776492608_1,2026-02-01,Madhya Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,81,KP1VNBR58771474,,,
SHIPPED,249572185235465601_1,2026-02-01,Karnataka,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,102,NP5UFEU00851878,,,
SHIPPED,249580410022702849_1,2026-02-01,Puducherry,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,81,KP1VNBR58771475,,,
READY_TO_SHIP,249600061217235586_1,2026-02-01,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,95,,,,
SHIPPED,249616921413494017_1,2026-02-02,Karnataka,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,KP1VNBR58771477,,,
SHIPPED,249756971355123456_1,2026-02-02,Kerala,Herbal Twist Car Hanging Perfume | Long-Lasting Fresh Fragrance | Alcohol-Free ? 10ml | Roll Mills,O6AoNP7n,1,99,KP1VNBR58771478,,,
SHIPPED,249798989212607104_1,2026-02-02,Tamil Nadu,Silicone Gel Heel Pad | Soft Heel Pain Relief Protector | Crack & Plantar Support for Men & Women,f12OnBna,1,99,KP1VNBR58771471,,,
SHIPPED,249850754637803264_1,2026-02-02,Madhya Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851886,,,
SHIPPED,249867646164853376_1,2026-02-02,Punjab,Orange Hanging Car Perfume | Fresh Citrus Aroma | Long-Lasting | Alcohol-Free | 10ml | Roll Mills,PrEQ0yGc,1,99,KP1VNBR58771047,,,
SHIPPED,249879049319801472_1,2026-02-02,Rajasthan,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851887,,,
READY_TO_SHIP,249892144347911040_1,2026-02-02,Gujarat,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,,,,
HOLD,249894593158915456_1,2026-02-02,Jammu & Kashmir,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,,,,
SHIPPED,249898612656759744_1,2026-02-02,Chandigarh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851881,,,
CANCELLED,249923260651967360_1,2026-02-02,Uttar Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851883,,,
READY_TO_SHIP,249939754450477696_1,2026-02-02,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,,,,
SHIPPED,249953633620665664_1,2026-02-02,Bihar,"Pack Of 5 Microfiber Cleaning Cloth for Car & Home | Super Absorbent Microfiber Cleaning Towel | Car Washing Cloth | Vehicle Polishing & Drying Cloth | Kitchen, Glass & Household Cleaning Cloth (Multicolor)",vG_4bAqg,1,225,NP5UFEU00851885,,,
SHIPPED,249962584806466945_1,2026-02-02,Punjab,"Kids Projector Torch Light Toy with Picture Slides | Educational Projection Flashlight for Kids | Animal, Cartoon & Vehicle Image Projector Toy | Learning Toy for Boys & Girls (Multicolor)",PzIEU3Ds,1,124,NP5UFEU00851884,,,
SHIPPED,250108250002236736_1,2026-02-03,Haryana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,KP1VNBR58771048,,,
SHIPPED,250108644153566592_1,2026-02-03,Karnataka,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,119,NP5UFEU00851882,,,
CANCELLED,250126929972486784_1,2026-02-03,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,,,,
CANCELLED,250199045690566016_1,2026-02-03,Bihar,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,119,,,,
READY_TO_SHIP,250220448858805120_1,2026-02-03,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,,,,
SHIPPED,250314993626296064_1,2026-02-03,Maharashtra,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,119,NP5UFEU00851889,,,
SHIPPED,250338519758087552_1,2026-02-04,Delhi,"Kids Projector Torch Light Toy with Picture Slides | Educational Projection Flashlight for Kids | Animal, Cartoon & Vehicle Image Projector Toy | Learning Toy for Boys & Girls (Multicolor)",PzIEU3Ds,1,124,NP5UFEU00851888,,,
SHIPPED,250383004282070336_1,2026-02-04,Andhra Pradesh,12 Inch LCD Writing Tablet for Kids | Reusable Electronic Writing Pad | Digital Drawing Board with Stylus Pen | Paperless Writing & Drawing Tablet for Children | Learning & Educational Toy (Black),HOZDT_8L,1,199,NP5UFEU00851890,,,
READY_TO_SHIP,250574913789175106_1,2026-02-04,Andhra Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,,,,
READY_TO_SHIP,250575637079954304_1,2026-02-04,Gujarat,"Kids Projector Torch Light Toy with Picture Slides | Educational Projection Flashlight for Kids | Animal, Cartoon & Vehicle Image Projector Toy | Learning Toy for Boys & Girls (Multicolor)",PzIEU3Ds,1,124,,,,
READY_TO_SHIP,250668175887492352_1,2026-02-04,Goa,"Kids Projector Torch Light Toy with Picture Slides | Educational Projection Flashlight for Kids | Animal, Cartoon & Vehicle Image Projector Toy | Learning Toy for Boys & Girls (Multicolor)",PzIEU3Ds,1,124,,,,
READY_TO_SHIP,250820766642678208_1,2026-02-05,Rajasthan,"Pack Of 5 Microfiber Cleaning Cloth for Car & Home | Super Absorbent Microfiber Cleaning Towel | Car Washing Cloth | Vehicle Polishing & Drying Cloth | Kitchen, Glass & Household Cleaning Cloth (Multicolor)",vG_4bAqg,1,225,,,,
